Project,ReflectiveTarget,Type
appstatus-spring-boot-starter,org.springframework.context.annotation.Bean,Type 4
appstatus-spring-boot-starter,org.springframework.boot.context.embedded.EmbeddedServletContainerInitializedEvent,Type 4
appstatus-spring-boot-starter,org.springframework.boot.builder.ParentContextApplicationContextInitializer$ParentContextAvailableEvent,Type 4
appstatus-spring-boot-starter,net.sf.appstatus.boot.core.api.EnableAppStatusTestConfig,Type 4
appstatus-spring-boot-starter,net.sf.appstatus.boot.core.api.EnableAppStatusTestAnnotation,Type 4
appstatus-spring-boot-starter,com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility,Type 4
appstatus-spring-boot-starter,com.fasterxml.jackson.annotation.JsonAutoDetect,Type 4
appstatus-spring-boot-starter,com.fasterxml.jackson.annotation.JacksonAnnotation,Type 4
bigmap,org.apiguardian.api.API$Status,Type 1
bigmap,org.apiguardian.api.API,Type 1
bigmap,com.fizzed.bigmap.kryo.KryoByteCodecTest$WidgetConstructorAccess,Type 1
bigmap,com.esotericsoftware.kryo.serializers.TimeSerializers$InstantSerializer,Type 1
bigmap,com.esotericsoftware.kryo.serializers.DefaultSerializers$EnumSerializer,Type 1
bigmap,com.esotericsoftware.kryo.unsafe.UnsafeUtil,Type 2
boot-dubbo,org.springframework.transaction.interceptor.TransactionAttribute,Type 1
boot-dubbo,org.springframework.test.context.ContextLoader,Type 1
boot-dubbo,org.springframework.orm.jpa.vendor.SpringHibernateJpaPersistenceProvider,Type 1
boot-dubbo,org.springframework.orm.jpa.support.PersistenceAnnotationBeanPostProcessor,Type 1
boot-dubbo,org.springframework.orm.jpa.JpaDialect,Type 1
boot-dubbo,org.springframework.orm.jpa.EntityManagerProxy,Type 1
boot-dubbo,org.springframework.orm.jpa.EntityManagerFactoryInfo,Type 1
boot-dubbo,org.springframework.jmx.export.naming.ObjectNamingStrategy,Type 1
boot-dubbo,org.springframework.jdbc.support.rowset.SqlRowSet,Type 1
boot-dubbo,org.springframework.jdbc.core.StatementCallback,Type 1
boot-dubbo,org.springframework.jdbc.core.SqlParameter,Type 1
boot-dubbo,org.springframework.jdbc.core.RowMapper,Type 1
boot-dubbo,org.springframework.jdbc.core.RowCallbackHandler,Type 1
boot-dubbo,org.springframework.jdbc.core.ResultSetExtractor,Type 1
boot-dubbo,org.springframework.jdbc.core.PreparedStatementSetter,Type 1
boot-dubbo,org.springframework.jdbc.core.PreparedStatementCreator,Type 1
boot-dubbo,org.springframework.jdbc.core.PreparedStatementCallback,Type 1
boot-dubbo,org.springframework.jdbc.core.ParameterizedPreparedStatementSetter,Type 1
boot-dubbo,org.springframework.jdbc.core.namedparam.SqlParameterSource,Type 1
boot-dubbo,org.springframework.jdbc.core.namedparam.NamedParameterJdbcOperations,Type 1
boot-dubbo,org.springframework.jdbc.core.ConnectionCallback,Type 1
boot-dubbo,org.springframework.jdbc.core.CallableStatementCreator,Type 1
boot-dubbo,org.springframework.jdbc.core.CallableStatementCallback,Type 1
boot-dubbo,org.springframework.expression.spel.support.StandardEvaluationContext,Type 1
boot-dubbo,org.springframework.data.web.config.EnableSpringDataWebSupport$SpringDataWebConfigurationImportSelector,Type 1
boot-dubbo,org.springframework.data.repository.Repository,Type 1
boot-dubbo,org.springframework.data.repository.query.QueryMethod,Type 1
boot-dubbo,org.springframework.data.repository.query.QueryLookupStrategy$Key,Type 1
boot-dubbo,org.springframework.data.repository.query.Parameters,Type 1
boot-dubbo,org.springframework.data.repository.query.ExtensionAwareEvaluationContextProvider,Type 1
boot-dubbo,org.springframework.data.repository.PagingAndSortingRepository,Type 1
boot-dubbo,org.springframework.data.repository.CrudRepository,Type 1
